Punto de Ingreso	Número de Análisis	NUMERO_ANALISIS	Fecha de Análisis	Número de Boletín	Campo	Lote	Descripcion	Especie	Cosecha	Descripción	Contenido Proteico	Grado	Factor	Gastos de Análisis	Gluten	Punto de Ingreso	Número de Análisis	Rubro de Análisis	Porcentaje	Bonificación	Rebaja	Descripción
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	29	2			Granos Danados
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	37				Granos Panza Blanca
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	40				Granos Picados
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	42	0,4			Granos Quebrados y/o Chuzos
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	52	0,3			Materias Extranas
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	58				Olores Comercialmente Objetables
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	60				Otro Tipo
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	61	73,4			Peso Hectolítrico
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	65	8,1		8,6	Proteína
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	66				Punta Negra por Carbón
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	67				Punta Sombreada por Tierra
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	70				Revolcado en Tierra
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	74				Total Danados
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	75				Trébol de Olor
1	106015	0001 00106015	08/12/2015	1734	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		3	91,4			1	106015	84	2			Aptitud Panadera
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	3				Brotados
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	4				Calcinados
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	21				Gluten Humedo
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	24				Granos Ardidos y Danados por Calor
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	26				Granos con Carbón
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	29	1,2			Granos Danados
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	37				Granos Panza Blanca
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	40				Granos Picados
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	42	0,5			Granos Quebrados y/o Chuzos
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	52	0,4			Materias Extranas
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	58				Olores Comercialmente Objetables
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	60				Otro Tipo
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	61	77			Peso Hectolítrico
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	65	8,1		8,6	Proteína
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	66				Punta Negra por Carbón
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	67				Punta Sombreada por Tierra
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	70				Revolcado en Tierra
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	74				Total Danados
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	75				Trébol de Olor
1	106016	0001 00106016	08/12/2015	1729	540		TUINAS 	TRIG	1516	TRIGO COSECHA 15/16		2	91,4			1	106016	84	2			Aptitud Panadera
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	3				Brotados
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	4				Calcinados
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	21				Gluten Humedo
1	106074	0001 00106074	15/12/2015	7000	708		LOS BADENES (LA LUCIA DEL MONTE) 	TRIG	1516	TRIGO COSECHA 15/16		1	97,1			1	106074	24				Granos Ardidos y Danados por Calor
